"FROTA";"ANO";"MES";"EFF";"LAGE";"BRANCA"
"BRA";1998;1;24520;1600,62;99,44
"BRA";1998;1;155450;38500,62;999,77
"BRA";1998;1;34300;15798,31;901,56
"BRA";1998;1;192666;8800,37;101800,07
"BRA";1998;1;109705;4100,97;71900,13
"BRA";1998;1;11430;201,28;901,72
"BRA";1998;1;19380;399,78;1200,46
"BRA";1998;2;96830;7799,68;398,73
"BRA";1998;2;27460;901,49;199,31
"BRA";1998;2;NA;NA;NA
"BRA";1998;2;62368;2299,56;23201,22
"BRA";1998;2;71910;3100,46;40800,36
"BRA";1998;2;18900;1298,38;2200,4
"BRA";1998;2;61236;2100,28;41500,11
"BRA";1998;2;15800;2001,88;1799,44
"BRA";1998;2;1100;100;201,79
"BRA";1998;3;NA;NA;NA
"BRA";1998;3;10200;12300,47;98,03
"BRA";1998;3;105300;1199,72;400,7
"BRA";1998;3;1000;200,81;199,53
"BRA";1998;3;1100;600,9;198,93
"BRA";1998;3;186646;5600;161199,78
"BRA";1998;3;6000;198,82;98,97
"BRA";1998;3;4400;698,68;499,27
"BRA";1998;4;16800;27099,41;2899,37
"BRA";1998;4;1000;800,8;98,31
"BRA";1998;4;18528;298,04;19400,84
"BRA";1998;4;139528;698,11;107300,15
"BRA";1998;4;20028;199,35;20698,86
"BRA";1998;5;3700;11500,39;801,25
"BRA";1998;5;4830;99,09;100,43
"BRA";1998;5;34920;300,89;23199,7
"BRA";1998;5;141868;2000,33;140800,9
"BRA";1998;5;72390;1199,83;62600,88
"BRA";1998;5;30200;100,82;22200,82
"BRA";1998;6;30500;1800,39;700,69
"BRA";1998;6;34700;999,55;600,55
"BRA";1998;6;3720;200,23;3699,94
"BRA";1998;6;215100;14000,65;183999,69
"BRA";1998;6;NA;NA;NA
"BRA";1998;6;7200;599,34;5199,31
"BRA";1998;7;36200;1900,86;899,79
"BRA";1998;7;117600;2401,15;398,73
"BRA";1998;7;28900;2900,28;1902,17
"BRA";1998;7;11040;100,14;3201,21
"BRA";1998;7;273670;15099,92;167698,88
"BRA";1998;7;NA;NA;NA
"BRA";1998;7;3840;100,28;2399,53
"BRA";1998;7;62140;2299,84;38000,78
"BRA";1998;8;NA;NA;NA
"BRA";1998;8;12400;198,43;100,25
"BRA";1998;8;10560;599,92;13599,97
"BRA";1998;8;3720;200,21;999,96
"BRA";1998;8;180036;29500,28;88501,37
"BRA";1998;8;200333;22200,82;166599,77
"BRA";1998;9;3600;199,81;901,52
"BRA";1998;9;18480;401,21;9598,45
"BRA";1998;9;49440;1399,08;24300,58
"BRA";1998;9;NA;NA;NA
"BRA";1998;9;19584;298,77;4400,22
"BRA";1998;9;6304;300,74;1500,38
"BRA";1998;9;7304;299,92;1599,5
"BRA";1998;10;3550;200,79;199,67
"BRA";1998;10;15600;99,73;98,98
"BRA";1998;10;25359;799,41;2298,93
"BRA";1998;10;38913;2499,63;500,3
"BRA";1998;10;156272;8598,15;101300,45
"BRA";1998;10;27260;3298,83;8200,05
"BRA";1998;10;33540;2298,56;6500,92
"BRA";1998;10;3600;101,05;602,05
"BRA";1998;10;NA;NA;NA
"BRA";1998;10;13470;1000,79;7097,69
"BRA";1998;10;62020;1001,52;22301,01
"BRA";1998;10;1000;399,81;99,29
"BRA";1998;10;6820;1800,28;299,31
"BRA";1998;10;11100;1898,25;4201,03
"BRA";1998;10;37010;1899,18;8699,72
"BRA";1998;10;1920;200,06;198,78
"BRA";1998;11;NA;NA;NA
"BRA";1998;11;134458;10699,24;1999,86
"BRA";1998;11;294009;8002,68;157400,01
"BRA";1998;11;2850;99,54;400,39
"BRA";1998;11;NA;NA;NA
"BRA";1998;11;182603;5200,65;93400,64
"BRA";1998;11;2700;199,97;399,78
"BRA";1998;11;1800;199,36;100,33
"BRA";1998;11;3600;301,05;201,1
"BRA";1998;11;900;201,62;100,44
"BRA";1998;11;6500;399,97;499,67
"BRA";1998;11;900;200,56;301,15
"BRA";1998;12;116693;4199,9;200,99
"BRA";1998;12;37980;601,02;1000,55
"BRA";1998;12;NA;NA;NA
"BRA";1998;12;430002;5102,32;170099,37
"BRA";1998;12;103480;1199,4;31501,36
"BRA";1998;12;24200;1998,54;4399,4
"BRA";1998;12;NA;NA;NA
"BRA";1998;12;37505;100,15;16001,53
"BRA";1998;12;14300;801,62;1999,76
"BRA";1998;12;8000;300,91;1898,97
"BRA";1998;12;14200;200,14;7499,29
"BRA";1999;1;11405;8293,94;5065,09
"BRA";1999;1;15400;82,09;57,7
"BRA";1999;1;8200;746,42;11,24
"BRA";1999;2;49045;27294,19;601,73
"BRA";1999;2;12200;3067,41;11,54
"BRA";1999;2;12100;1245,43;57,17
"BRA";1999;2;13200;497,19;774,86
"BRA";1999;2;7000;1328,92;69,16
"BRA";1999;2;29400;164,77;35,69
"BRA";1999;2;15700;497,86;161,68
"BRA";1999;2;26156;1077,29;139,69
"BRA";1999;3;1050;1162,25;230,18
"BRA";1999;3;68455;66032,31;3210,37
"BRA";1999;3;7232;6887,07;12,11
"BRA";1999;3;14550;996,24;197,33
"BRA";1999;3;21300;11698,26;753,46
"BRA";1999;3;6000;1245,55;254,34
"BRA";1999;3;18100;248,73;57,1
"BRA";1999;3;8070;249,34;45,34
"BRA";1999;3;53501;2404,67;220,33
"BRA";1999;4;14600;10949,65;80,18
"BRA";1999;4;51716;28868,97;2804,29
"BRA";1999;4;8752;4480,02;498,11
"BRA";1999;4;2000;249,32;13,43
"BRA";1999;4;10516;1658,03;80,48
"BRA";1999;4;24311;10866,28;371,12
"BRA";1999;4;35000;6801,41;1135,9
"BRA";1999;4;1200;415,16;45,4
"BRA";1999;5;3100;1160,36;34,7
"BRA";1999;5;39900;27043,34;685,25
"BRA";1999;5;14400;1989,76;58,4
"BRA";1999;5;NA;NA;NA
"BRA";1999;5;9400;912,95;312,51
"BRA";1999;5;41000;331,11;2999,76
"BRA";1999;6;NA;NA;NA
"BRA";1999;6;10210;414,41;126,03
"BRA";1999;6;NA;NA;NA
"BRA";1999;6;4200;166,15;384,38
