Sigla,Código,Município,Domicílios - com água encanada - pessoas (2000),Domicílios - com energia elétrica - pessoas (2000),Domicílios - com telefone - pessoas (2000),Domicílios - com carro - pessoas (2000),Domicílios - com computador - pessoas (2000),Domícilios - número (2000),
AC,1200013,Acrelândia,21.455,56.227,8.853,9.299,0.947,1878,
AC,1200054,Assis Brasil,27.389,65.342,26.715,6.025,1.637,807,
AC,1200104,Brasiléia,26.862,55.879,22.732,7.475,1.857,4114,
AC,1200138,Bujari,17.343,43.85,12.28,6.492,0.127,1365,
AC,1200179,Capixaba,13.116,35.913,9.193,5.726,0.088,1267,
AC,1200203,Cruzeiro do Sul,27.487,80.017,22.963,11.94,2.215,14368,
AC,1200252,Epitaciolândia,24.498,70.799,22.864,8.221,0.564,2807,
AC,1200302,Feijó,16.741,42.753,14.394,2.1,1.096,5268,
AC,1200328,Jordão,3.103,16.846,0.552,0.114,0.082,740,
AC,1200336,Mâncio Lima,9.213,64.883,13.296,5.207,0.445,2308,
AC,1200344,Manoel Urbano,10.09,51.551,15.167,2.987,0.096,1236,
AC,1200351,Marechal Thaumaturgo,4.865,23.619,0.238,0.604,0.048,1491,
AC,1200385,Plácido de Castro,19.056,64.903,22.022,8.477,1.503,3728,
AC,1200393,Porto Walter,23.062,47.339,1.681,0.587,0.666,1019,
AC,1200401,Rio Branco,53.198,95.222,57.55,22.603,5.942,64838,
AC,1200427,Rodrigues Alves,8.068,45.663,11.939,2.341,1.728,1595,
AC,1200435,Santa Rosa do Purus,25.846,35.113,0.539,0.275,0.111,325,
AC,1200450,Senador Guiomard,34.798,70.206,22.69,13.876,1.149,4951,
AC,1200500,Sena Madureira,21.827,56.791,19.382,5.663,1.163,6390,
AC,1200609,Tarauacá,22.712,55.004,17.325,2.404,1.487,5197,
AC,1200708,Xapuri,40.749,64.045,21.914,5.742,0.666,3045,
AC,1200807,Porto Acre,18.626,60.013,5.896,8.281,0.234,2843,
AL,2700102,Água Branca,31.335,82.699,7.041,6.341,0.604,3936,
