Temperatura,Concentracao,Tempo,Pressao,Peso_Molecular,Viscosidade
100,4,20,60,2400,1400
120,4,20,60,2410,1500
100,8,20,60,2315,1520
120,8,20,60,2510,1630
100,4,30,60,2615,1380
120,4,30,60,2625,1525
100,8,30,60,2400,1500
120,8,30,60,2750,1620
100,4,20,75,2400,1400
120,4,20,75,2390,1525
100,8,20,75,2300,1500
120,8,20,75,2520,1500
100,4,30,75,2625,1420
120,4,30,75,2630,1490
100,8,30,75,2500,1500
120,8,30,75,2710,1600
110,6,25,67.5,2515,1500
110,6,25,67.5,2500,1460
110,6,25,67.5,2400,1525
110,6,25,67.5,2475,1500
