run   l  A  L     G    y yhat1 yhat2 yhat3 yhat4
  1 250  8 40 0.032  674   654   683   678   589
  2 250  8 45 0.032  370   484   461   449   414
  3 250  8 50 0.032  292   218   311   310   302
  4 250  9 40 0.036  338   156   363   348   327
  5 250  9 45 0.036  266   129   245   231   230
  6 250  9 50 0.036  210     6   166   159   167
  7 250 10 40 0.040  170   209   193   192   193
  8 250 10 45 0.040  118   326   130   127   136
  9 250 10 50 0.040   90   345    88    87    99
 10 300  8 40 0.027 1414  1768  1569  1671  1467
 11 300  8 45 0.027 1198  1362  1060  1107  1030
 12 300  8 50 0.027  634   860   716   765   751
 13 300  9 40 0.030 1022   813   835   859   814
 14 300  9 45 0.030  620   551   564   569   572
 15 300  9 50 0.030  438   192   381   393   417
 16 300 10 40 0.033  442   410   444   474   481
 17 300 10 45 0.033  332   290   300   313   338
 18 300 10 50 0.033  220    74   203   217   246
 19 350  8 40 0.023 3636  3359  3607  3586  3170
 20 350  8 45 0.023 3184  2717  2436  2374  2226
 21 350  8 50 0.023 2000  1980  1645  1641  1623
 22 350  9 40 0.026 1568  1947  1919  1842  1759
 23 350  9 45 0.026 1070  1449  1296  1220  1236
 24 350  9 50 0.026  566   855   875   843   901
 25 350 10 40 0.029 1140  1088  1021  1016  1039
 26 350 10 45 0.029  884   733   690   672   730
 27 350 10 50 0.029  360   281   466   465   532
